name_x,identifier,name_y,unique_name,key_cricinfo,key_cricinfo_2
YBK Jaiswal,6c19c6e5,YBK Jaiswal,YBK Jaiswal,1151278.0,
Yash Dayal,7210d461,Yash Dayal,Yash Dayal,1159720.0,
AA Noffke,b69e69ed,AA Noffke,AA Noffke,6938.0,
P Dharmani,eaa90ab4,P Dharmani,P Dharmani,28067.0,
F Gomes,3134d083,F Gomes,F Gomes,28845.0,
DS Lehmann,53fe6ee4,DS Lehmann,DS Lehmann,6285.0,
MA Khote,0d232ffd,MA Khote,MA Khote,30220.0,
VD Nerurkar,8647d51d,VD Nerurkar,VD Nerurkar,265853.0,
SK Porel,350a07a7,SK Porel,SK Porel,32897.0,
SB Joshi,670709ec,SB Joshi,SB Joshi,29725.0,
D Kalyankrishna,94bc776b,D Kalyankrishna,D Kalyankrishna,30719.0,
UL Dubey,b2ef796b,UL Dubey,UL Dubey,28116.0,
S Chanderpaul,881a9bdd,S Chanderpaul,S Chanderpaul,51469.0,
P Amarnath,6ad3a659,P Amarnath,P Amarnath,290629.0,
RR Sarwan,36d33dd0,RR Sarwan,RR Sarwan,52969.0,
Jasbir Singh,6043dfe7,Jasbir Singh,Jasbir Singh,29681.0,
T Taibu,75de770f,T Taibu,T Taibu,55805.0,
MS Mahal,50a7e89b,MS Mahal,MS Mahal,30886.0,
Younis Khan,33cb3411,Younis Khan,Younis Khan,43652.0,
RV Pawar,c9d33ef5,RV Pawar,RV Pawar,32305.0,
Abdur Razzak,888e32bf,Abdur Razzak,Abdur Razzak,56283.0,
DT Patil,f48cf4da,DT Patil,DT Patil,32389.0,
J Arunkumar,f663ef00,J Arunkumar,J Arunkumar,26291.0,
DJ Thornely,7d3937ed,DJ Thornely,DJ Thornely,8002.0,
DNT Zoysa,e0351c86,DNT Zoysa,DNT Zoysa,51050.0,
H Das,0ed0cdbf,H Das,H Das,236810.0,
S Banerjee,abde8fb9,S Banerjee,S Banerjee,26854.0,
